date,PortfolioValue_copy,PortfolioValue_copy_scaled,PortfolioValue_fund
2023-09-01 00:00:00+00:00,2950643.6905855886,3182350.3912084633,3105960.996260112
2023-09-05 00:00:00+00:00,2929404.974786337,3159296.9459396964,3084074.1461518225
2023-09-06 00:00:00+00:00,2925855.434059774,3155444.1168118655,3079882.6155259646
2023-09-07 00:00:00+00:00,2931981.637226338,3162093.769773025,3086889.788923865
2023-09-08 00:00:00+00:00,2929312.3719356908,3159196.430693422,3084307.5626744744
2023-09-11 00:00:00+00:00,2939279.0239235647,3170014.677346706,3094361.914731521
2023-09-12 00:00:00+00:00,2935945.627134305,3166396.4604466525,3091364.8826403674
2023-09-13 00:00:00+00:00,2942936.238399303,3173984.3803433226,3098621.173103602
2023-09-14 00:00:00+00:00,2966478.6412994713,3199538.3498904556,3123266.508947436
2023-09-15 00:00:00+00:00,2944812.298377567,3176020.7391532725,3100306.6479952196
2023-09-18 00:00:00+00:00,2952784.3300877013,3184673.936382689,3108407.7902099704
2023-09-19 00:00:00+00:00,2949161.8255539234,3180741.909098429,3104275.0554556185
2023-09-20 00:00:00+00:00,2934408.816301336,3164728.3377239243,3088805.207424492
2023-09-21 00:00:00+00:00,2895170.2744533326,3122137.0819498324,3047373.5636974606
2023-09-22 00:00:00+00:00,2894268.7372747688,3121158.513461972,3046428.1558430637
2023-09-25 00:00:00+00:00,2903918.0572788115,3131632.3138883547,3056894.032774144
2023-09-26 00:00:00+00:00,2865835.2603109456,3090295.5549299247,3017528.119218099
2023-09-27 00:00:00+00:00,2867197.711839762,3091774.4203212126,3019597.7097554402
2023-09-28 00:00:00+00:00,2877505.209018677,3102962.635480647,3030378.982696564
2023-09-29 00:00:00+00:00,2860777.238326277,3084805.353257944,3012258.557247554
2023-10-02 00:00:00+00:00,2853679.9611291992,3077101.653421918,3012258.557247554
2023-10-03 00:00:00+00:00,2829858.2014889964,3051244.4576638537,2988405.7296870947
2023-10-04 00:00:00+00:00,2846751.128298891,3069580.790581633,3004158.186002668
2023-10-05 00:00:00+00:00,2846184.667845554,3068965.929250969,3004434.043017148
2023-10-06 00:00:00+00:00,2874557.54467985,3099763.109711379,3033065.011465812
2023-10-09 00:00:00+00:00,2899241.8920718743,3126556.5965199037,3059749.340436366
2023-10-10 00:00:00+00:00,2906943.7525139796,3134916.537857601,3066839.729809755
2023-10-11 00:00:00+00:00,2912363.063085405,3140798.898205264,3071250.7200481324
2023-10-12 00:00:00+00:00,2891875.210605188,3118560.4733263026,3049984.420928167
2023-10-13 00:00:00+00:00,2901266.411772411,3128754.100105008,3060112.0598820015
2023-10-16 00:00:00+00:00,2930536.55837019,3160525.217011449,3091014.189617033
2023-10-17 00:00:00+00:00,2933415.085806608,3163649.6985167027,3094021.1764250034
2023-10-18 00:00:00+00:00,2908939.912867251,3137083.2589478395,3069316.4655429358
2023-10-19 00:00:00+00:00,2886507.6888071634,3112734.326813055,3047122.6424694564
2023-10-20 00:00:00+00:00,2858076.697674948,3081874.0665130224,3017645.744221419
2023-10-23 00:00:00+00:00,2844316.9203086547,3066938.593134004,3004238.256688544
2023-10-24 00:00:00+00:00,2856545.203872532,3080211.715131368,3014828.1402067663
2023-10-25 00:00:00+00:00,2829285.955828238,3050623.316812152,2984011.6690549827
2023-10-26 00:00:00+00:00,2806712.0369509324,3026120.5828305674,2960804.15525443
2023-10-27 00:00:00+00:00,2780413.138476988,2997574.590580918,2933040.7348819845
2023-10-30 00:00:00+00:00,2806897.1904202425,3026321.5566282026,2960038.101880227
2023-10-31 00:00:00+00:00,2829049.435811046,3050366.58748243,2984817.2704655007
2023-11-01 00:00:00+00:00,2843351.4598105014,3065890.63943644,2998564.665234466
2023-11-02 00:00:00+00:00,2882071.8814714574,3107919.504551528,3039716.6032079095
2023-11-03 00:00:00+00:00,2903083.401181236,3130726.341095763,3059189.5145805916
2023-11-06 00:00:00+00:00,2908061.542336103,3136129.8365678373,3065572.302920888
2023-11-07 00:00:00+00:00,2910584.6839057966,3138868.566471852,3068022.069563275
2023-11-08 00:00:00+00:00,2915526.288716128,3144232.4037731104,3073361.9188914904
2023-11-09 00:00:00+00:00,2899338.9356952137,3126661.9319780595,3057920.6741695083
2023-11-10 00:00:00+00:00,2932107.8935514884,3162230.8139949646,3091251.6010348336
2023-11-13 00:00:00+00:00,2931746.4557934403,3161838.493402138,3090541.014950808
2023-11-14 00:00:00+00:00,2931746.4557934403,3161838.493402138,3122167.4794275826
2023-11-15 00:00:00+00:00,2938617.53955476,3169286.7658347376,3128702.1998693934
2023-11-16 00:00:00+00:00,2950232.8409240795,3181877.782330922,3141672.6227298966
2023-11-17 00:00:00+00:00,2948531.0555575965,3180033.0426258505,3139520.252912252
2023-11-20 00:00:00+00:00,2964503.051641806,3197346.7273748727,3157034.073700821
2023-11-21 00:00:00+00:00,2974633.029206536,3208327.649054649,3167220.8066628
2023-11-22 00:00:00+00:00,2990963.9396749213,3226030.3979173074,3184390.292301157
2023-11-24 00:00:00+00:00,2999280.8780948077,3235045.9805107256,3193312.3934934284
2023-11-27 00:00:00+00:00,2989891.197191264,3224867.542311721,3183319.240534614
2023-11-28 00:00:00+00:00,2986635.876189301,3221338.765990483,3179613.6822681716
2023-11-29 00:00:00+00:00,2983656.896461822,3218109.5443200446,3176147.419333263
2023-11-30 00:00:00+00:00,3003987.968759916,3240148.4788729255,3197801.7564219693
2023-12-01 00:00:00+00:00,3017752.7581052687,3255069.5458520083,3211677.81338443
2023-12-04 00:00:00+00:00,3016054.8977348804,3253229.060852777,3209418.486866996
2023-12-05 00:00:00+00:00,3004002.981561918,3240164.7527888273,3197236.656362258
2023-12-06 00:00:00+00:00,2995741.0519587975,3231208.79989397,3187856.648697146
2023-12-07 00:00:00+00:00,3001216.533031976,3237144.2354306695,3193986.8927769014
2023-12-08 00:00:00+00:00,3007006.877309342,3243420.983488837,3200645.888642531
2023-12-11 00:00:00+00:00,3035897.033294553,3274737.9867263045,3232276.543356755
2023-12-12 00:00:00+00:00,3053478.9826667584,3293796.8649716205,3252044.583953661
2023-12-13 00:00:00+00:00,3077703.7721831086,3320056.5989827104,3276557.840758604
2023-12-14 00:00:00+00:00,3066978.172157904,3308430.0210270546,3262056.3383462946
2023-12-15 00:00:00+00:00,3054625.9252665173,3295040.1536935032,3249340.0966128334
2023-12-18 00:00:00+00:00,3069238.763020958,3310880.507324639,3265747.2476195237
2023-12-19 00:00:00+00:00,3075700.4931581244,3317885.0393780093,3272013.7219087323
2023-12-20 00:00:00+00:00,3042978.6239338424,3282414.449154911,3236757.1813386795
2023-12-21 00:00:00+00:00,3069438.374803908,3311096.8870096807,3264949.5881492044
2023-12-22 00:00:00+00:00,3080110.600138058,3322665.6066632415,3276071.213415971
2023-12-26 00:00:00+00:00,3089995.1030690325,3333380.433209992,3286290.075134505
2023-12-27 00:00:00+00:00,3093741.6216489617,3337441.668966453,3290188.282738321
2023-12-28 00:00:00+00:00,3094308.1559904567,3338055.793646701,3291079.271805407
2023-12-29 00:00:00+00:00,3094180.5300832037,3337917.4468356743,3291260.3576795347
2024-01-02 00:00:00+00:00,3092396.693072913,3335983.762938122,3291260.3576795347
2024-01-03 00:00:00+00:00,3079981.912335293,3322526.1087547545,3276627.035450429
2024-01-04 00:00:00+00:00,3076898.403859495,3319183.577652854,3273782.4040606185
2024-01-05 00:00:00+00:00,3070462.355357482,3312206.884557904,3267763.271371304
2024-01-08 00:00:00+00:00,3096856.2523300643,3340817.936618782,3297389.3070927006
2024-01-09 00:00:00+00:00,3087492.555967214,3330667.6657285816,3288354.3917648406
2024-01-10 00:00:00+00:00,3098282.3627180452,3342363.8439396094,3300112.247410131
2024-01-11 00:00:00+00:00,3104537.955534255,3349144.9226079904,3306555.775002722
2024-01-12 00:00:00+00:00,3111311.2503270404,3356487.1915477137,3312207.1095530437
2024-01-16 00:00:00+00:00,3102191.5319252773,3346601.3933935254,3303304.955852009
