date,PortfolioValue
2015-01-28 00:00:00+00:00,1187953.3057391604
2015-01-29 00:00:00+00:00,1200967.9863511003
2015-01-30 00:00:00+00:00,1182485.2379662767
2015-02-02 00:00:00+00:00,1188083.145445253
2015-02-03 00:00:00+00:00,1196213.0676482318
2015-02-04 00:00:00+00:00,1207663.8703952767
2015-02-05 00:00:00+00:00,1206612.2482325449
2015-02-06 00:00:00+00:00,1203983.033270183
2015-02-09 00:00:00+00:00,1197851.717521596
2015-02-10 00:00:00+00:00,1210097.632163494
2015-02-11 00:00:00+00:00,1211210.5952301556
2015-02-12 00:00:00+00:00,1219057.2049060282
2015-02-13 00:00:00+00:00,1219057.2049060282
2015-02-17 00:00:00+00:00,1220341.1443082076
2015-02-18 00:00:00+00:00,1225153.1239188076
2015-02-19 00:00:00+00:00,1226967.2103078999
2015-02-20 00:00:00+00:00,1236558.0425638421
2015-02-23 00:00:00+00:00,1238213.028905517
2015-02-24 00:00:00+00:00,1242901.8721075023
2015-02-25 00:00:00+00:00,1237187.3834860213
2015-02-26 00:00:00+00:00,1232997.859778212
2015-02-27 00:00:00+00:00,1220064.4781954512
2015-03-02 00:00:00+00:00,1229481.3283199074
2015-03-03 00:00:00+00:00,1230457.2335171711
2015-03-04 00:00:00+00:00,1232363.48630442
2015-03-05 00:00:00+00:00,1225734.7148635779
2015-03-06 00:00:00+00:00,1211873.6867925478
2015-03-09 00:00:00+00:00,1215366.6321479436
2015-03-10 00:00:00+00:00,1203442.667870553
2015-03-11 00:00:00+00:00,1207573.7836136173
2015-03-12 00:00:00+00:00,1222083.4137973129
2015-03-13 00:00:00+00:00,1216841.7181655266
2015-03-16 00:00:00+00:00,1223071.8899179674
2015-03-17 00:00:00+00:00,1226290.7189157149
2015-03-18 00:00:00+00:00,1235542.0621132008
2015-03-19 00:00:00+00:00,1236432.0421248702
2015-03-20 00:00:00+00:00,1245383.6094620794
2015-03-23 00:00:00+00:00,1242641.8416831288
2015-03-24 00:00:00+00:00,1237659.4663888584
2015-03-25 00:00:00+00:00,1222202.8148747175
2015-03-26 00:00:00+00:00,1221382.8956563994
2015-03-27 00:00:00+00:00,1229834.0496955733
2015-03-30 00:00:00+00:00,1240325.928876427
2015-03-31 00:00:00+00:00,1236672.7980780886
2015-04-01 00:00:00+00:00,1218476.2215868924
2015-04-02 00:00:00+00:00,1212661.8024053015
2015-04-06 00:00:00+00:00,1213064.5598980382
2015-04-07 00:00:00+00:00,1202919.1089558809
2015-04-08 00:00:00+00:00,1213066.9629149395
2015-04-09 00:00:00+00:00,1216379.0959194216
2015-04-10 00:00:00+00:00,1218790.1804817081
2015-04-13 00:00:00+00:00,1214243.0987229098
2015-04-14 00:00:00+00:00,1212858.7750121662
2015-04-15 00:00:00+00:00,1223775.4504240952
2015-04-16 00:00:00+00:00,1220281.840298493
2015-04-17 00:00:00+00:00,1216404.1562901242
2015-04-20 00:00:00+00:00,1227760.4989851888
2015-04-21 00:00:00+00:00,1232565.622477476
2015-04-22 00:00:00+00:00,1232631.3302536963
2015-04-23 00:00:00+00:00,1224306.5682068178
2015-04-24 00:00:00+00:00,1230088.044202897
2015-04-27 00:00:00+00:00,1223629.0156438756
2015-04-28 00:00:00+00:00,1213708.9407589575
2015-04-29 00:00:00+00:00,1208099.677472292
2015-04-30 00:00:00+00:00,1199747.245590137
2015-05-01 00:00:00+00:00,1211842.9666654968
2015-05-04 00:00:00+00:00,1211548.1708597648
2015-05-05 00:00:00+00:00,1197277.6820084704
2015-05-06 00:00:00+00:00,1197520.4326302654
2015-05-07 00:00:00+00:00,1214381.656804887
2015-05-08 00:00:00+00:00,1222599.1561729042
2015-05-11 00:00:00+00:00,1227058.8277882433
2015-05-12 00:00:00+00:00,1217251.766717829
2015-05-13 00:00:00+00:00,1222975.1912569853
2015-05-14 00:00:00+00:00,1230443.7655986096
2015-05-15 00:00:00+00:00,1230443.7655986096
2015-05-18 00:00:00+00:00,1236676.2453161024
2015-05-19 00:00:00+00:00,1236337.312021316
2015-05-20 00:00:00+00:00,1225663.3400723638
2015-05-21 00:00:00+00:00,1231182.5318028298
2015-05-22 00:00:00+00:00,1230204.9986952161
2015-05-26 00:00:00+00:00,1223778.147324591
2015-05-27 00:00:00+00:00,1231096.2844975896
2015-05-28 00:00:00+00:00,1229995.2682867753
2015-05-29 00:00:00+00:00,1225256.5565794627
2015-06-01 00:00:00+00:00,1233506.915634831
2015-06-02 00:00:00+00:00,1232173.1547416607
2015-06-03 00:00:00+00:00,1230792.2443719674
2015-06-04 00:00:00+00:00,1222116.6235102373
2015-06-05 00:00:00+00:00,1221121.5842332924
2015-06-08 00:00:00+00:00,1210071.822499761
2015-06-09 00:00:00+00:00,1212217.861987885
2015-06-10 00:00:00+00:00,1221282.44281859
2015-06-11 00:00:00+00:00,1222195.5115972324
2015-06-12 00:00:00+00:00,1220433.3510724024
2015-06-15 00:00:00+00:00,1215701.2906381653
2015-06-16 00:00:00+00:00,1215921.6068492355
2015-06-17 00:00:00+00:00,1218698.0017019915
2015-06-18 00:00:00+00:00,1225174.6297237808
2015-06-19 00:00:00+00:00,1227583.9908136586
2015-06-22 00:00:00+00:00,1234358.165378855
2015-06-23 00:00:00+00:00,1236290.0443386543
2015-06-24 00:00:00+00:00,1226558.325931117
2015-06-25 00:00:00+00:00,1230432.9950272436
2015-06-26 00:00:00+00:00,1226734.7458078456
2015-06-29 00:00:00+00:00,1204062.0882695264
2015-06-30 00:00:00+00:00,1206369.1137870983
2015-07-01 00:00:00+00:00,1203889.8054499915
2015-07-02 00:00:00+00:00,1202840.5279497367
2015-07-06 00:00:00+00:00,1201839.4317818088
2015-07-07 00:00:00+00:00,1206294.7206819416
2015-07-08 00:00:00+00:00,1186997.2569739455
2015-07-09 00:00:00+00:00,1187877.2981818672
2015-07-10 00:00:00+00:00,1202108.2941463473
2015-07-13 00:00:00+00:00,1211958.7642151252
2015-07-14 00:00:00+00:00,1217042.1779987782
2015-07-15 00:00:00+00:00,1211261.477600233
2015-07-16 00:00:00+00:00,1211471.3660057604
2015-07-17 00:00:00+00:00,1210319.8450658754
2015-07-20 00:00:00+00:00,1204831.5232511181
2015-07-21 00:00:00+00:00,1204859.0223909658
